lambda_A,Sigma_z,Sigma_x,Sigma_y
1.0,14.289599818095608,14.457117791160762,14.493880869130074
1.0100200400801602,14.401389770353218,14.42165058045104,14.534569967685233
1.0200400801603207,14.315901282004926,13.959963141017045,14.28394678392141
1.0300601202404809,14.617159756832947,14.206445345987849,14.58129065770288
1.0400801603206413,14.92028312812654,14.452649952403387,14.886050543039623
1.0501002004008015,15.083085696006309,14.662955711623539,15.161036888625947
1.060120240480962,15.399181839691845,14.90730673904571,15.482439053733199
1.0701402805611222,15.724113218661143,15.147977957022926,15.812455488496841
1.0801603206412826,16.05966005944557,15.383814431360758,16.15184500012663
1.0901803607214429,15.93353610487045,15.27333875625505,15.897098549905797
1.100200400801603,16.259859477664918,15.526502931146736,16.19221602442183
1.1102204408817635,15.939572527982,15.616219290332124,16.27890634738129
1.1202404809619237,16.225670611729967,15.908730735475476,16.610862328325183
1.1302605210420842,16.51275675196068,16.205817915872846,16.951060638637767
1.1402805611222444,16.79843267616918,16.507022634952136,17.299675036544254
1.1503006012024048,16.627262831937713,16.114794216641222,16.68982080401919
1.160320641282565,16.911730689412877,16.402930369263284,16.95391716431182
1.1703406813627255,17.19726141240098,16.69519895183034,17.210562973660668
1.1803607214428857,17.48380331248459,16.991364150698875,17.457649732453685
1.1903807615230462,17.77138504127855,17.29103677743431,17.692811049117545
1.2004008016032064,18.06017701794625,17.593642011685905,17.913452062813445
1.2104208416833666,17.363788534905357,17.160977602806728,17.687281422207754
1.220440881763527,17.610699598184546,17.476353313269936,17.96751685829395
1.2304609218436873,16.494041160315,16.14934903380721,16.688795918378304
1.2404809619238477,16.74671650838427,16.43563912845825,16.939783728682382
1.250501002004008,16.99848488622677,16.728888235505714,17.190769873982212
1.2605210420841684,17.24934064303548,17.029816074923207,17.442261385969452
1.2705410821643286,17.499482642940773,17.339283914933556,17.694978732378093
1.280561122244489,17.53258431750679,16.91132507257993,17.683757611352483
1.2905811623246493,17.835616032405277,17.154336184180814,17.966979789750603
1.3006012024048097,18.144294686868083,17.395954699486296,18.25577509748544
1.31062124248497,18.45880171488607,17.635751418631866,18.551200235467434
1.3206412825651301,18.77927868973596,17.87325942920274,18.85447822964952
1.3306613226452906,19.105809344707705,18.10798358358353,19.167001410248833
1.340681362725451,19.438397046077025,18.339418032678296,19.490326877189773
1.3507014028056112,19.77693686763676,18.5670749818361,19.82616149346331
1.3607214428857715,20.1211812977862,18.790528719313926,20.176332696342516
1.370741482965932,20.47069848089217,19.009480045463004,20.542740515387873
1.3807615230460921,20.824821754118155,19.223847536495562,20.92728511143523
1.3907815631262526,21.182589089038622,19.43389364974969,21.331762874408014
1.4008016032064128,19.550769934293758,17.6879134254733,19.045606450105776
1.4108216432865732,19.883596135458543,17.87657382517184,19.314873684031987
1.4208416833667334,20.223415247374835,18.061650326926504,19.583437747998534
1.4308617234468937,20.570549341688967,18.243584914824897,19.850505824101297
1.440881763527054,20.92532465668601,18.423198883434488,20.115240954363166
1.4509018036072145,21.28807243386825,18.6018270744471,20.37679871401741
1.4609218436873748,21.659132548923274,18.781489222861136,20.63438006227262
1.470941883767535,22.03886137594513,18.965106972910387,20.887304656766904
1.4809619238476954,19.842662693986085,18.15917356563609,19.663535529266237
1.4909819639278556,20.087270326271494,18.44028891424461,19.94210928817763
1.5010020040080159,20.328143428653757,18.729203062918252,20.22443096713037
1.5110220440881763,20.564821616665622,19.026142310281667,20.510593851492214
1.5210420841683367,20.796868227499413,19.331299951889065,20.800671780681373
1.531062124248497,21.023900382447035,19.64485173647975,21.094725981614513
1.5410821643286572,21.245631343279705,19.96698341411096,21.39281853723894
1.5511022044088176,21.46192873110275,20.2979344384236,21.69503489403281
1.561122244488978,21.67289297934109,20.63806283197583,22.001518399445782
1.5711422845691383,21.878961341577774,20.987937342308545,22.31252055767835
1.5811623246492985,22.081043891936137,21.348464332767307,22.628471516791603
1.591182364729459,22.280699265299393,21.7210583948627,22.950076270869538
1.6012024048096192,22.48035941470167,22.10786747038989,23.278443199159625
1.6112224448897794,22.683614444909107,22.512065367823286,23.615252893749126
1.6212424849699398,20.60968872579851,19.335151574257154,19.906256205468406
1.6312625250501003,20.818237319141716,19.614112243059573,20.008374419761676
1.6412825651302605,21.03117529076408,19.895942380536972,20.100111883653828
1.6513026052104207,21.25218189570753,20.18195570843473,20.183643624767562
1.6613226452905812,18.56011791644431,17.435724419150404,18.84827166858633
1.6713426853707416,18.764875491079433,17.669282722938057,19.05723755195097
1.6813627254509018,18.968295509938603,17.906927729939202,19.26177972277748
1.691382765531062,19.170178645074127,18.149127971931808,19.46103302742366
1.7014028056112225,19.370322715994746,18.396374845506404,19.653988415257427
1.7114228456913827,19.568518069315893,18.649161478825167,19.839454121695976
1.721442885771543,19.764539178251084,18.90795253892834,20.016005655634288
1.7314629258517034,19.958131101686018,19.173142703139185,20.18192193340186
1.7414829659318638,20.148989117495923,19.445001086880445,20.33510439367968
1.751503006012024,20.33672946101438,19.723598422667457,20.472975340446972
1.7615230460921842,20.520848648673855,20.008713212651728,20.592351083555215
1.7715430861723447,20.700668339342098,20.299712420380434,20.68928466732503
1.7815631262525051,20.875262071196637,20.595401515923797,20.75887208374164
1.7915831663326653,21.043359498321617,20.89383783059453,20.79501484410191
1.8016032064128256,21.203222925452348,21.192100200319828,20.790130615542807
1.811623246492986,20.807599052952547,19.577987091939388,19.66117894995939
1.8216432865731462,21.03964246255413,19.784172293636612,19.805793873571908
1.8316633266533064,21.27573993791694,19.988912015875155,19.950236048573306
1.8416833667334669,21.516229909175212,20.19194035071506,20.094757450717772
1.8517034068136273,21.761467652679116,20.392972359095122,20.23964819389853
1.8617234468937875,22.011824356916772,20.59170406445514,20.385241378535746
1.8717434869739478,22.267685575342004,20.78781284639237,20.531918456256474
1.8817635270541082,22.52944886895592,20.980958313041707,20.68011510715516
1.8917835671342687,22.797520394790713,21.170783736556647,20.83032760757226
1.9018036072144289,23.07231014133034,21.356918141056763,20.983119643011662
1.911823647294589,23.354225447176667,21.53897913642681,21.13912949168259
1.9218436873747495,23.643662363601575,21.71657659407965,21.299077468239
1.9318637274549098,23.940994333528852,21.88931726185904,21.463773473517588
1.94188376753507,24.246557557316887,22.05681041422744,21.634124443229677
1.9519038076152304,24.560632297636047,22.218674630264694,21.811141425283072
1.9619238476953909,24.883419239725878,22.37454578522829,21.995945940175623
1.971943887775551,25.215009867138757,22.5240863308502,22.189775190016395
1.9819639278557113,25.555349634255293,22.66699592443646,22.39398557730542
1.9919839679358717,25.904192512663702,22.803023446362175,22.610053872537044
2.0020040080160317,26.261045255931958,22.93198041878338,22.839575227659044
2.012024048096192,26.625099463061623,23.05375580426133,23.08425706783799
2.0220440881763526,26.99514922137275,23.168332120336007,23.3459077040005
2.032064128256513,27.369491770750795,23.27580275356857,23.626418290090175
2.0420841683366735,27.745808248730576,23.37639029272131,23.927736498429585
2.052104208416834,28.121021145027484,23.470465623911515,24.251830000184132
2.062124248496994,28.49112460963945,23.558567438933512,24.600637511486852
2.072144288577154,28.85098321483554,23.641421699457542,24.976004794687977
2.0821643286573144,29.194094162006138,23.719960472236867,25.379602583377782
2.092184368737475,26.036306811997623,22.9242425771563,24.892541289879034
2.1022044088176353,26.424215401957706,22.99870206009853,25.363844077208046
2.1122244488977957,26.831159554831455,23.05334940070264,25.864477752640312
2.122244488977956,27.258329137873865,23.086285103120087,26.396986674738642
2.132264529058116,27.706830771386688,23.09541417466448,26.964109041129536
2.1422845691382766,28.17763053603605,23.07840834984501,27.568779516782286
2.1523046092184366,28.671481936052807,23.032659634953884,28.2141283423757
2.162324649298597,29.188836423513205,22.9552235012821,28.903475965865834
2.1723446893787575,29.729733401237677,22.842749795508542,29.64032207502105
2.182364729458918,19.729091263335476,15.24625529642924,16.946667988252894
2.1923847695390783,19.90197652617175,15.3958061459302,17.089977969140023
2.2024048096192383,20.072486065434845,15.549673797249964,17.23188914379773
2.212424849699399,20.24028842140981,15.70820577024533,17.372155257667842
2.222444889779559,20.405026653313275,15.871774594677706,17.510520148928414
2.2324649298597192,20.56631686063668,16.040779109868705,17.64671817832538
2.2424849699398797,20.723746688199984,16.21564576973625,17.780474739066246
2.25250501002004,20.87687383018154,16.396829949772027,17.911506853192957
2.2625250501002006,21.025224551948476,16.584817253462017,18.039523861582673
2.272545090180361,21.168292252618812,16.78012481694862,18.164228215581897
2.282565130260521,21.305536096007874,16.98330261244693,18.285316379280907
2.292585170340681,21.436379743017003,17.19493475312622,18.402479852598987
2.3026052104208414,21.560210224694508,17.41564080492614,18.515406326702976
2.312625250501002,21.676377002220576,17.646077114180972,18.62378098484475
2.3226452905811623,21.784191268037244,17.886938164066265,18.727287963505933
2.3326653306613228,21.882925551361822,18.13895797786482,18.825611990811936
2.342685370741483,21.971813701503038,18.402911592987273,18.91844022155479
2.352705410821643,22.050051333863944,18.67961663670178,19.005464290883552
2.3627254509018036,22.116796836399935,18.96993504276753,19.086382611822597
2.3727454909819636,22.171173048748216,19.274774957779176,19.160902945307335
2.382765531062124,22.21226974241517,19.59509289718166,19.228745275431997
2.3927855711422845,22.239147048470937,19.931896223790545,19.289645027139635
2.402805611222445,22.250839999343214,20.28624603645312,19.343356668709156
2.4128256513026054,22.246364373724038,20.65926057342751,19.389657747171167
2.4228456913827654,22.224724058523172,21.05211925438248,19.42835341128474
2.432865731462926,22.184920169454422,21.466067506888496,19.459281484005338
2.442885771543086,22.125962202480757,21.902422548164736,19.482318154554125
2.4529058116232463,22.046881522245283,22.36258032097819,19.497384369349383
2.4629258517034067,21.946747531073495,22.848023814290077,19.504453011279324
2.472945891783567,21.824686903466397,23.360333034881865,19.50355696818741
2.4829659318637276,21.679906316558476,23.90119693615591,19.494798204121512
2.492985971943888,21.511719157157643,24.47242765502595,19.478357960988394
2.503006012024048,21.319576741114002,25.075977457750234,19.454508233890994
2.513026052104208,21.10310464130806,25.71395885121459,19.423624680749448
2.5230460921843685,20.862144786965313,26.388668378082482,19.38620114597537
2.533066132264529,20.596804069784636,27.102614682979496,19.3428659991487
2.5430861723446894,20.30751027204264,27.858551513092426,19.294400513018754
2.55310621242485,19.995076218968514,28.659516400918864,19.241759530910425
2.5631262525050102,16.11415596487272,16.862535957842425,14.7698496370152
2.5731462925851702,16.193526610053276,17.052295483432108,14.91922872998089
2.5831663326653307,16.2724410755774,17.2435873304846,15.071730389047579
2.5931863727454907,16.35090869664248,17.436407513235345,15.22744342981084
2.603206412825651,16.42894132229859,17.63075148629754,15.386458298676652
2.6132264529058116,16.506553442665005,17.82661408887642,15.548867011312028
2.623246492985972,16.583762310620504,18.023989483647394,15.714763078184196
2.6332665330661325,16.6605880568947,18.222871090213413,15.88424141634868
2.6432865731462925,16.737053797450795,18.423251513096528,16.057398246649278
2.653306613226453,16.81318573201677,18.625122464264965,16.23433097550128
2.663326653306613,16.889013232592433,18.828474680246526,16.415138060441393
2.6733466933867733,16.96456892073575,19.033297833936732,16.599918858647026
2.6833667334669338,17.039888732411136,19.23958044127046,16.78877345765008
2.693386773547094,17.115011969169352,19.447309762994223,16.98180248750102
2.7034068136272547,17.189981334419816,19.656471701850304,17.17910691367416
2.7134268537074147,17.264842953555274,19.867050695562416,17.38078781004709
2.723446893787575,17.33964637669439,20.079029606100455,17.58694611133645
2.733466933867735,17.414444562821142,20.292389605792604,17.797682344426512
2.7434869739478955,17.489293844121946,20.5071100609534,18.013096338090516
2.753507014028056,17.56425386935156,20.723168413800344,18.233286910672643
2.7635270541082164,17.63938752509886,20.940540063544034,18.458351535375815
2.773547094188377,17.714760833873125,21.159198247654444,18.68838598288293
2.7835671342685373,17.790442827991185,21.379113924429312,18.9234839411295
2.7935871743486973,17.866505398316654,21.60025565812108,19.16373661214269
2.8036072144288577,17.943023116984406,21.822589508013458,19.409232285964993
2.8136272545090177,18.020073033336867,22.046078922979472,19.660055891790705
2.823647294589178,18.097734442404544,22.270684643197704,19.916288526558525
2.8336673346693386,18.176088625380764,22.496364610852496,20.17800696136469
2.843687374749499,18.25521856167176,22.723073891796716,20.44528312618656
2.8537074148296595,18.33520861224621,22.950764610310685,20.718183573535597
2.8637274549098195,18.4161441741648,23.179385899247414,20.996768921791258
2.87374749498998,18.49811130634019,23.408883868011877,21.281093279101313
2.88376753507014,18.58119632675952,23.639201590978868,21.571203648868856
2.8937875751503004,18.665485381597524,23.8702791191079,21.867139317979976
2.903807615230461,18.751063986855602,24.102053517665446,22.168931229058074
2.9138276553106213,18.838016543382366,24.334458933109204,22.476601338156367
2.9238476953907817,18.926425826362788,24.567426692327786,22.79016195942213
2.9338677354709417,19.016372450605424,24.800885437557024,23.10961509837618
